voxel_index,fiber_index,true_n_fibers,est_n_fibers,true_theta,true_phi,true_v,est_theta_matched,est_phi_matched,est_v_matched,acc,true_angular_separation,est_angular_separation,vol_frac,method,experiment
60,0.0,2.0,2.0,0.8067462,5.207329,0.5,2.334901412818281,2.0657168572503704,0.5000344921278765,0.9999999775108016,1.570796328900772,1.5708292726100797,0.5,fod2fixel,angle
60,1.0,2.0,2.0,1.1105913,3.1415927,0.5,2.030911181137743,-1.4378268738868376e-05,0.4999655078721234,0.9999999418969736,1.570796328900772,1.5708292726100797,0.5,fod2fixel,angle
61,0.0,2.0,2.0,0.7152081,1.5423992,0.5,0.714951790172464,1.5423571764252364,0.500092048685296,0.9999995347831852,1.5707963730472754,1.5707265408975326,0.5,fod2fixel,angle
61,1.0,2.0,2.0,1.5461382,3.1415927,0.5,1.5954588179856246,8.42187433169076e-05,0.499907951314704,0.9999999503522218,1.5707963730472754,1.5707265408975326,0.5,fod2fixel,angle
62,0.0,2.0,2.0,1.3464745,1.3207104,0.5,1.3464630214133018,1.3206257916913229,0.499903190723402,0.999999951419632,1.5707963593670264,1.5709001659849129,0.5,fod2fixel,angle
62,1.0,2.0,2.0,0.7447909,3.1415927,0.5,2.3968226579594045,-0.0002225577345859,0.500096809276598,0.9999998375182996,1.5707963593670264,1.5709001659849129,0.5,fod2fixel,angle
63,0.0,2.0,2.0,0.94083464,3.4804533,0.5,2.2006044338474,0.3388183227607095,0.4998164767425283,0.9999998267260172,1.5707962462845664,1.5706442967570096,0.5,fod2fixel,angle
63,1.0,2.0,2.0,2.4835243,3.1415927,0.5,0.658101094534505,-0.0002245793821003,0.5001835232574716,0.9999998603214656,1.5707962462845664,1.5706442967570096,0.5,fod2fixel,angle
64,0.0,2.0,2.0,1.7977962,1.8793297,0.5,1.797927238383933,1.8793426104047544,0.4998848947400545,0.9999998787823734,1.5707963232176594,1.5709299658770308,0.5,fod2fixel,angle
64,1.0,2.0,2.0,0.65028405,3.1415927,0.5,2.4912338489303725,-0.0003658158262035,0.5001151052599455,0.9999996173452304,1.5707963232176594,1.5709299658770308,0.5,fod2fixel,angle
65,0.0,2.0,2.0,1.051993,2.5901816,0.5,1.051756057456167,2.5900809605575583,0.4998319887595461,0.9999995535180556,1.5707964218461006,1.5704155893235654,0.5,fod2fixel,angle
65,1.0,2.0,2.0,2.5510614,3.1415927,0.5,0.5903846913560595,-7.861089306447018e-06,0.5001680112404538,0.999999849482744,1.5707964218461006,1.5704155893235654,0.5,fod2fixel,angle
66,0.0,2.0,2.0,1.1823384,3.9929419,0.5,1.9591782548282648,0.8512888653401411,0.4999647632415445,0.9999999376945696,1.5707961977081561,1.5705619342226693,0.5,fod2fixel,angle
66,1.0,2.0,2.0,2.5858378,3.1415927,0.5,0.5558256444266755,0.0002492041790265,0.5000352367584555,0.9999998439488936,1.5707961977081561,1.5705619342226693,0.5,fod2fixel,angle
67,0.0,2.0,2.0,0.24531743,4.5608196,0.5,0.2453402639484279,-1.722425162344236,0.5001901328807675,0.9999999948891491,1.5707963015481312,1.5708472991997129,0.5,fod2fixel,angle
67,1.0,2.0,2.0,1.6085801,3.1415927,0.5,1.5330078957227973,0.0001569792798299,0.4998098671192325,0.9999998277894656,1.5707963015481312,1.5708472991997129,0.5,fod2fixel,angle
68,0.0,2.0,2.0,2.3761418,0.94535875,0.5,2.3757803031106253,0.945374486020395,0.4998762613203259,0.9999990844761072,1.5707964196706086,1.5704886165118863,0.5,fod2fixel,angle
68,1.0,2.0,2.0,2.0832233,3.1415927,0.5,1.0584091204455277,5.440319706378343e-05,0.5001237386796741,0.9999999732188692,1.5707964196706086,1.5704886165118863,0.5,fod2fixel,angle
